appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
42966	24349911	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.1.1.167	10.1.1.165	
42999	24349911	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.1.1.167	10.1.1.165	
42966	24349911	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.1.1.167	10.1.1.165	
42999	24349911	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.1.1.167	10.1.1.165	
42966	24349911	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.1.1.167	10.1.1.165	
42999	24349911	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.1.1.167	10.1.1.165	
42966	24349911	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.1.1.167	10.1.1.165	
42999	24349911	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.1.1.167	10.1.1.165	
42966	24349911	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.1.1.167	10.1.1.165	
42999	24349911	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.1.1.167	10.1.1.165	
42966	24349911	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.1.1.167	10.1.1.165	
42999	24349911	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.1.1.167	10.1.1.165	
42966	24349911	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.1.1.167	10.1.1.165	
42999	24349911	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.1.1.167	10.1.1.165	
42966	24349911	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.1.1.167	10.1.1.165	
42999	24349911	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.1.1.167	10.1.1.165	
42966	24349911	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.1.1.167	10.1.1.165	
42999	24349911	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.1.1.167	10.1.1.165	
25834	24349911	BACnet	Operational.Technology: BACnet	elevated	10.1.1.167	10.1.1.165	
25834	24349911	BACnet	Operational.Technology: BACnet	elevated	10.1.1.167	10.1.1.165	
